chr pos
I_388131 1 388131
I_408301 1 388131.259639863
I_447250 1 388131.259639913
I_481373 1 388131.547656103
I_482889 1 388131.547656153
I_486146 1 388131.61459698
I_693196 1 388131.61459703
I_745089 1 388131.61459708
I_772143 1 388131.61459713
I_773114 1 388131.61459718
I_781065 1 388131.61459723
I_787132 1 388131.692715634
I_812059 1 388131.997441999
I_812985 1 388132.297912366
I_835209 1 388132.601487153
I_835937 1 388132.601487203
I_873186 1 388132.601487253
I_879703 1 388132.601487303
I_886279 1 388132.601487353
I_886858 1 388132.601487403
I_908637 1 388132.601487453
I_928558 1 388132.601487503
I_996489 1 388133.114312784
I_998174 1 388133.114312834
I_1013640 1 388133.114312884
I_1041451 1 388133.627138165
I_1048848 1 388133.627138215
I_1177473 1 388133.627138265
I_1186475 1 388133.627138315
I_1214736 1 388133.627138365
I_1238709 1 388134.671681092
I_1257493 1 388135.18188703
I_1284278 1 388135.694765311
I_1390228 1 388136.207643449
I_1405102 1 388136.720521586
I_1449934 1 388137.233413145
I_1468970 1 388137.74625144
I_1471035 1 388137.74625149
I_1487556 1 388137.74625154
I_1601168 1 388138.259103256
I_1639252 1 388138.771954971
I_1652424 1 388138.771955021
I_1660262 1 388138.771955071
I_1696507 1 388139.284793366
I_1700507 1 388139.79768507
I_1763070 1 388140.307863308
I_1774127 1 388141.355302894
I_1811194 1 388141.865481133
I_1817916 1 388142.378359357
I_1830371 1 388142.892312909
I_1855809 1 388143.193859684
I_1874721 1 388143.708222414
I_1878880 1 388144.010218578
I_1884842 1 388144.010218628
I_1888072 1 388144.522482317
I_1889555 1 388145.034701791
I_1893224 1 388145.034701841
I_1900888 1 388145.034701891
I_1904303 1 388145.034701941
I_1942356 1 388145.034701991
I_1965365 1 388146.079244858
I_1983747 1 388146.589450795
I_2009211 1 388147.102329091
I_2011911 1 388147.615217477
I_2023573 1 388148.128055788
I_2045556 1 388148.128055838
I_2047527 1 388148.128055888
I_2051903 1 388148.640891026
I_2062822 1 388149.153782542
I_2074239 1 388149.667781878
I_2074240 1 388149.962938075
I_2091875 1 388149.962938125
I_2103993 1 388150.259197091
I_2116732 1 388150.259197141
I_2128535 1 388150.259197191
I_2169385 1 388150.259197241
I_2220902 1 388150.259197291
I_2271718 1 388150.773094565
I_2272201 1 388151.078885971
I_2277239 1 388151.38298033
I_2283663 1 388151.690878949
I_2286052 1 388151.784931654
I_2307100 1 388151.784931704
I_2308137 1 388152.087191112
I_2310806 1 388152.087191162
I_2316769 1 388152.087191212
I_2318515 1 388152.598003891
I_2320752 1 388153.110862771
I_2324912 1 388153.110862821
I_2342001 1 388153.110862871
I_2398443 1 388153.623684863
I_2423685 1 388153.623684913
I_2438212 1 388153.623684963
I_2446955 1 388153.623685013
I_2452499 1 388153.623685063
I_2457174 1 388154.136510137
I_2469932 1 388154.136510187
I_2474236 1 388154.136510237
I_2478539 1 388154.136510287
I_2484669 1 388154.136510337
I_2488858 1 388154.136510387
I_2500158 1 388154.136510437
I_2508161 1 388154.136510487
I_2527395 1 388154.136510537
I_2543431 1 388154.648760424
I_2543511 1 388154.648760474
I_2545331 1 388155.161613694
I_2560333 1 388155.613974074
I_2563188 1 388155.917050274
I_2565883 1 388156.840110952
I_2567710 1 388157.143180739
I_2589698 1 388157.596179364
I_2590124 1 388158.108355736
I_2597658 1 388158.108355786
I_2603141 1 388158.108355836
I_2621188 1 388158.620578679
I_2626903 1 388159.132784718
I_2629777 1 388159.132784768
I_2649378 1 388159.132784818
I_2658882 1 388159.132784868
I_2663361 1 388159.132784918
I_2672199 1 388159.644990582
I_2680669 1 388160.158961171
I_2681318 1 388160.460425733
I_2689417 1 388160.975418474
I_2704727 1 388161.277932726
I_2714521 1 388161.277932776
I_2718921 1 388161.277932826
I_2720071 1 388161.277932876
I_2724843 1 388161.277932926
I_2728135 1 388161.578602681
I_2731816 1 388161.884959893
I_2745889 1 388161.978904247
I_2770018 1 388161.978904297
I_2774518 1 388162.284485041
I_2930880 1 388162.589769118
I_2937883 1 388163.103669096
I_2948286 1 388163.103669146
I_2988446 1 388163.103669196
I_2989079 1 388163.616534116
I_3031856 1 388164.129385487
I_3042797 1 388164.129385537
I_3080525 1 388164.129385587
I_3083789 1 388164.129385637
I_3114767 1 388164.129385687
I_3159931 1 388164.643314723
I_3161799 1 388164.941788334
I_3175316 1 388165.458338599
I_3256573 1 388165.458341587
I_3273287 1 388165.458341637
I_3276736 1 388165.458341687
I_3304928 1 388165.458341737
I_3359892 1 388165.540994777
I_3387982 1 388166.057151756
I_3397935 1 388166.35296067
I_3418161 1 388166.35296072
I_4518191 1 388166.35296077
I_4524715 1 388166.35296082
I_4547853 1 388166.35296087
I_4741249 1 388166.865785945
I_5168257 1 388166.865785995
I_5170292 1 388166.865786045
I_6084936 1 388166.865786095
I_6086489 1 388166.865786145
I_6087501 1 388166.865786195
I_6088595 1 388166.865786245
I_6460220 1 388166.865786295
I_6460919 1 388166.865786345
I_7475965 1 388166.865786395
I_8161229 1 388167.378611514
I_8596895 1 388167.378611564
I_10367501 1 388167.892241555
I_10441368 1 388167.892241605
I_10734365 1 388169.480592176
I_10740549 1 388169.480592226
I_10793419 1 388169.480592276
I_10799818 1 388169.480592326
I_10885969 1 388169.480592376
I_10885970 1 388169.776870279
